State,City,Name,Language,Time,Type,Price,Capacity,Booked
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Recliner,400₹,12,4
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Executive,200₹,26,8
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,09:00,Silver,150₹,46,9
Maharashtra,Washim,H2MMovieplexWashim,Hindi,09:15,Sf,220₹,21,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,09:15,Pl,190₹,60,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,09:15,Gl,160₹,96,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,09:15,Sl,110₹,52,0
Gujarat,Surat,SkyCinemaSurat,Hindi,09:30,Recliner,120₹,12,0
Gujarat,Surat,SkyCinemaSurat,Hindi,09:30,RoyalSofa,100₹,26,0
Gujarat,Surat,SkyCinemaSurat,Hindi,09:30,Executive,80₹,38,0
Gujarat,Surat,SkyCinemaSurat,Hindi,09:30,Upper,60₹,65,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,09:30,Eb,150₹,17,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,09:30,Pr,130₹,158,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,09:30,Ex,110₹,34,0
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Hindi,09:30,GoldClass,170₹,53,15
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Hindi,09:30,Silver,170₹,36,9
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,09:30,Pl,150₹,131,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,09:30,Go,110₹,32,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,09:30,Pr,250₹,18,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,09:30,Pl,170₹,208,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,09:30,Gl,150₹,104,0
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,09:30,Luxury,170₹,17,17
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,09:30,Royale,150₹,180,124
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,09:30,Premium,130₹,57,48
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,09:30,ClubA,150₹,20,0
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,09:30,ClubB,150₹,20,20
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,09:30,Premium,112₹,68,24
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,09:30,Classic,112₹,92,24
Gujarat,Bhuj,NyCinemaBhuj,Hindi,10:00,Pl,200₹,35,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,10:00,Dm,170₹,189,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,10:00,Gl,150₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,10:00,Sl,120₹,72,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,10:00,Eb,200₹,26,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,10:00,Ex,110₹,64,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,10:00,Pr,110₹,136,0
Maharashtra,Sangli,AurumMultiplexSangli,Hindi,10:00,Gl,100₹,108,1
Maharashtra,Sangli,AurumMultiplexSangli,Hindi,10:00,Sl,100₹,24,1
UttarPradesh,Pilkhuwa,NyCinemaPilkhuwa,Hindi,10:00,Gl,150₹,66,0
UttarPradesh,Pilkhuwa,NyCinemaPilkhuwa,Hindi,10:00,Pl,150₹,145,0
Haryana,Rewari,BmgCinemasRewari,Hindi,10:10,Gold,140₹,229,42
UttarPradesh,Agra,SanjayTalkiesAgra,Hindi,10:15,Gold,130₹,388,119
UttarPradesh,Agra,SanjayTalkiesAgra,Hindi,10:15,Silver,80₹,300,0
UttarPradesh,Agra,SanjayTalkiesAgra,Hindi,10:15,DC,40₹,238,1
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,10:15,Gold,295₹,27,0
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,10:15,Silver,177₹,21,0
UttarPradesh,Agra,MeherCinema,Hindi,10:25,Gold,180₹,224,118
UttarPradesh,Agra,MeherCinema,Hindi,10:25,Silver,100₹,360,112
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,10:30,Gold,260₹,78,25
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,10:30,Silver,165₹,118,6
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,10:30,Bronze,95₹,20,0
Gujarat,Vadodara,CinemeraVadodara,Hindi,10:30,Rc,130₹,500,488
Gujarat,Vadodara,CinemeraVadodara,Hindi,10:30,Ex,90₹,500,487
Gujarat,Vadodara,CinemeraVadodara,Hindi,10:30,Pl,90₹,500,404
Gujarat,Vadodara,CinemeraVadodara,Hindi,10:30,Gl,80₹,500,449
Gujarat,Vadodara,CinemeraVadodara,Hindi,10:30,Sl,80₹,500,482
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,10:45,Gold,230₹,110,16
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,10:45,Silver,180₹,240,15
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,11:00,Diamond,100₹,125,24
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,11:00,Platinum,80₹,180,52
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,11:00,Gold,70₹,130,130
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,11:00,Silver,50₹,174,174
Telangana,Hyderabad,Santosh70MmAbids,Hindi,11:30,Balcony,150₹,318,232
Telangana,Hyderabad,Santosh70MmAbids,Hindi,11:30,Silver,100₹,342,228
Telangana,Hyderabad,Santosh70MmAbids,Hindi,11:30,Bronze,70₹,152,152
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,11:30,Diamond,180₹,12,6
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,11:30,Gold,120₹,90,45
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,11:30,Silver,100₹,27,18
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,11:30,Balcony,100₹,412,378
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,11:30,Silver,80₹,228,228
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,11:30,Bronze,40₹,144,144
Haryana,Rewari,BmgCinemasRewari,Hindi,11:30,Gold,140₹,260,46
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,12:00,Eb,170₹,17,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,12:00,Pr,150₹,158,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,12:00,Ex,130₹,34,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,12:00,Pr,300₹,18,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,12:00,Pl,220₹,208,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,12:00,Gl,180₹,104,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,12:00,Pl,200₹,131,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,12:00,Go,180₹,32,0
Rajasthan,Kotputli,HeeraMotiCinema,Hindi,12:00,PlatinumClass,150₹,20,10
Rajasthan,Kotputli,HeeraMotiCinema,Hindi,12:00,DiamondClass,100₹,196,176
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,LoungeA,220₹,32,32
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,LoungeB,220₹,32,0
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,Elite,190₹,49,22
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,Club,150₹,66,22
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,Premium,140₹,84,42
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,12:00,Classic,110₹,52,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,12:15,Sf,220₹,21,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,12:15,Pl,190₹,60,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,12:15,Gl,160₹,96,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,12:15,Sl,110₹,52,0
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,12:30,Platinum,150₹,48,48
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,12:30,Gold,120₹,86,28
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,12:30,Silver,90₹,60,0
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,12:30,Luxury,250₹,14,14
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,12:30,Royale,150₹,126,90
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,12:30,Premium,110₹,54,36
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,12:30,Luxury,190₹,17,17
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,12:30,Royale,170₹,180,124
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,12:30,Premium,150₹,57,48
Gujarat,Surat,SkyCinemaSurat,Hindi,12:30,Recliner,120₹,12,0
Gujarat,Surat,SkyCinemaSurat,Hindi,12:30,RoyalSofa,100₹,26,0
Gujarat,Surat,SkyCinemaSurat,Hindi,12:30,Executive,80₹,38,0
Gujarat,Surat,SkyCinemaSurat,Hindi,12:30,Upper,60₹,65,0
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,12:30,Recliner,300₹,12,0
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,12:30,Gold,200₹,96,6
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,12:30,Silver,100₹,84,0
UttarPradesh,Raebareli,NyCinemasRaebareli,Hindi,12:45,Dm,180₹,91,0
UttarPradesh,Raebareli,NyCinemasRaebareli,Hindi,12:45,Gl,150₹,156,0
UttarPradesh,Agra,MeherCinema,Hindi,12:45,Gold,180₹,224,122
UttarPradesh,Agra,MeherCinema,Hindi,12:45,Silver,100₹,360,110
Haryana,Rewari,BmgCinemasRewari,Hindi,12:50,Gold,170₹,229,42
Rajasthan,Pali,VSquareMultiplexPali,Hindi,13:00,Gold,200₹,70,2
Rajasthan,Pali,VSquareMultiplexPali,Hindi,13:00,Silver,180₹,20,0
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,13:00,Gold,295₹,27,0
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,13:00,Silver,177₹,21,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,13:00,Eb,300₹,26,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,13:00,Pr,200₹,136,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,13:00,Ex,180₹,64,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,13:00,Pl,250₹,35,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,13:00,Dm,200₹,189,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,13:00,Gl,180₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,13:00,Sl,150₹,72,0
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,13:15,Gold,250₹,112,14
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,13:15,Silver,200₹,240,15
Maharashtra,Sangli,AurumMultiplexSangli,Hindi,13:30,Gl,150₹,108,0
Maharashtra,Sangli,AurumMultiplexSangli,Hindi,13:30,Sl,130₹,24,0
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,14:00,Recliner,400₹,12,4
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,14:00,Executive,200₹,26,10
Haryana,Fatehabad,FilmiplexCinemaModelTown,Hindi,14:00,Silver,150₹,46,9
Haryana,Rewari,BmgCinemasRewari,Hindi,14:10,Gold,170₹,260,50
Telangana,Hyderabad,Santosh70MmAbids,Hindi,14:30,Balcony,150₹,318,232
Telangana,Hyderabad,Santosh70MmAbids,Hindi,14:30,Silver,100₹,342,229
Telangana,Hyderabad,Santosh70MmAbids,Hindi,14:30,Bronze,70₹,152,152
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,14:30,Diamond,180₹,12,6
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,14:30,Gold,120₹,90,45
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,14:30,Silver,100₹,27,18
UttarPradesh,Hapur,NyCinemasHapur,Hindi,14:30,Pr,300₹,18,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,14:30,Pl,220₹,208,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,14:30,Gl,180₹,104,0
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,14:30,Balcony,100₹,412,378
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,14:30,Silver,80₹,228,228
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,14:30,Bronze,40₹,144,144
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,14:30,Pl,200₹,131,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,14:30,Go,180₹,32,0
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,14:30,ClubA,220₹,20,0
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,14:30,ClubB,220₹,20,20
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,14:30,Premium,180₹,68,30
Rajasthan,Ajmer,MayaMandirMultiplexAjmer,Hindi,14:30,Classic,160₹,92,24
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,14:40,Platinum,500₹,16,12
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,14:40,Gold,260₹,49,37
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,14:40,Silver,165₹,97,16
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,14:40,Broze,95₹,19,0
Gujarat,Surat,SkyCinemaSurat,Hindi,15:00,Recliner,120₹,12,0
Gujarat,Surat,SkyCinemaSurat,Hindi,15:00,RoyalSofa,100₹,26,0
Gujarat,Surat,SkyCinemaSurat,Hindi,15:00,Executive,80₹,38,0
Gujarat,Surat,SkyCinemaSurat,Hindi,15:00,Upper,60₹,65,0
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,15:00,Luxury,300₹,14,14
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,15:00,Royale,180₹,126,90
MadhyaPradesh,Burhanpur,StarCinemasBurhanpur,Hindi,15:00,Premium,130₹,54,36
Rajasthan,Kotputli,HeeraMotiCinema,Hindi,15:00,PlatinumClass,150₹,20,10
Rajasthan,Kotputli,HeeraMotiCinema,Hindi,15:00,DiamondClass,100₹,196,176
Maharashtra,Washim,H2MMovieplexWashim,Hindi,15:15,Sf,220₹,21,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,15:15,Pl,190₹,60,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,15:15,Gl,160₹,96,0
Maharashtra,Washim,H2MMovieplexWashim,Hindi,15:15,Sl,110₹,52,0
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,15:20,Gold,260₹,78,24
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,15:20,Silver,165₹,118,8
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,15:20,Bronze,95₹,20,0
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,15:30,Platinum,150₹,48,48
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,15:30,Gold,120₹,86,28
MadhyaPradesh,Chhatarpur,AshokaCineplexChhatarpur,Hindi,15:30,Silver,90₹,60,0
UttarPradesh,Raebareli,NyCinemasRaebareli,Hindi,15:30,Dm,180₹,91,13
UttarPradesh,Raebareli,NyCinemasRaebareli,Hindi,15:30,Gl,150₹,156,2
UttarPradesh,Pilkhuwa,NyCinemaPilkhuwa,Hindi,15:30,Pl,180₹,145,0
UttarPradesh,Pilkhuwa,NyCinemaPilkhuwa,Hindi,15:30,Gl,160₹,66,0
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,15:30,Luxury,190₹,17,17
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,15:30,Royale,170₹,180,124
Rajasthan,Sikar,CineSquareCinemasSikar,Hindi,15:30,Premium,150₹,57,48
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,15:30,Recliner,300₹,12,0
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,15:30,Gold,200₹,96,6
MadhyaPradesh,Itarsi,GoldmarkCinemasItarsi,Hindi,15:30,Silver,100₹,84,0
Rajasthan,Pali,VSquareMultiplexPali,Hindi,16:00,Gold,250₹,70,0
Rajasthan,Pali,VSquareMultiplexPali,Hindi,16:00,Silver,200₹,20,0
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Hindi,16:00,Recliner,200₹,12,8
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Hindi,16:00,Gold,170₹,146,50
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Hindi,16:00,Silver,170₹,72,18
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,16:00,Eb,300₹,26,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,16:00,Pr,200₹,136,0
MadhyaPradesh,Ratlam,NyCinemasRatlam,Hindi,16:00,Ex,180₹,64,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,16:00,Pl,250₹,35,2
Gujarat,Bhuj,NyCinemaBhuj,Hindi,16:00,Dm,200₹,189,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,16:00,Gl,180₹,54,0
Gujarat,Bhuj,NyCinemaBhuj,Hindi,16:00,Sl,150₹,72,0
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,16:30,Gold,250₹,110,16
Karnataka,Bangalore,InnovativeMultiplexMarathahalli,Hindi,16:30,Silver,200₹,240,15
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,17:00,Eb,170₹,17,5
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,17:00,Pr,150₹,158,0
Delhi,DelhiNcr,NyCinemasSonicWorldMallGreaterNoida,Hindi,17:00,Ex,130₹,34,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,17:00,Pl,200₹,131,0
UttarPradesh,Ghazipur,NyCinemasGhazipur,Hindi,17:00,Go,180₹,32,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,17:00,Pr,300₹,18,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,17:00,Pl,220₹,208,0
UttarPradesh,Hapur,NyCinemasHapur,Hindi,17:00,Gl,180₹,104,0
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,17:00,Diamond,100₹,125,24
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,17:00,Platinum,80₹,180,52
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,17:00,Gold,70₹,130,130
Jharkhand,Dhanbad,SwastikPlazaDhanbad,Hindi,17:00,Silver,50₹,174,174
Haryana,Rewari,BmgCinemasRewari,Hindi,17:20,Gold,170₹,260,45
Gujarat,Surat,SkyCinemaSurat,Hindi,17:30,Recliner,120₹,12,0
Gujarat,Surat,SkyCinemaSurat,Hindi,17:30,RoyalSofa,100₹,26,0
Gujarat,Surat,SkyCinemaSurat,Hindi,17:30,Executive,80₹,38,0
Gujarat,Surat,SkyCinemaSurat,Hindi,17:30,Upper,60₹,65,0
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,17:30,Platinum,500₹,16,12
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,17:30,Gold,260₹,49,36
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,17:30,Silver,165₹,97,25
Andaman,PortBlair,AnandParadiseMultiplex3D4KDolbyAtmos,Hindi,17:30,Broze,95₹,19,0
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,17:30,Diamond,180₹,12,6
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,17:30,Gold,120₹,90,45
Jharkhand,Jamtara,MiniSarojTalkies,Hindi,17:30,Silver,100₹,27,18
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,17:30,Gold,295₹,17,2
AndhraPradesh,Vijayawada,CapitalCinemasTrendsetmall,Hindi,17:30,Executive,177₹,257,8
Telangana,Hyderabad,Santosh70MmAbids,Hindi,18:00,Balcony,150₹,318,232
Telangana,Hyderabad,Santosh70MmAbids,Hindi,18:00,Silver,100₹,342,228
Telangana,Hyderabad,Santosh70MmAbids,Hindi,18:00,Bronze,70₹,152,152
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,18:00,Balcony,100₹,412,378
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,18:00,Silver,80₹,228,228
Telangana,Hyderabad,MetroTheatre70MmBhadurpura,Hindi,18:00,Bronze,40₹,144,144
Gujarat,Vadodara,CinemeraVadodara,Hindi,18:00,Rc,150₹,500,488
Gujarat,Vadodara,CinemeraVadodara,Hindi,18:00,Ex,130₹,500,485
Gujarat,Vadodara,CinemeraVadodara,Hindi,18:00,Gl,130₹,500,449
Gujarat,Vadodara,CinemeraVadodara,Hindi,18:00,Pl,130₹,500,404
