State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:00,PrimePlus,140₹,34,0
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:00,Prime,110₹,115,17
Maharashtra,Mumbai,PvrOrionPanvel,Marathi,09:00,Classic,90₹,28,0
Maharashtra,Ahmednagar,AshaSquareMultiplexAhmednagar,Marathi,09:00,GoldenClass,100₹,342,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,SofaOffline,130₹,18,3
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,PlatinumOffline,100₹,112,4
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,GoldOffline,90₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,09:10,SilverOffline,80₹,48,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,09:15,Silver,80₹,40,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,09:15,Gold,80₹,120,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,09:15,Platinum,80₹,233,2
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:40,Normal,140₹,25,0
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:40,Premium,140₹,43,20
Maharashtra,Mumbai,CinepolisVivianaMall,Marathi,09:40,Executive,140₹,97,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,RoyaleRecliners,190₹,32,4
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Club,112₹,224,2
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Executive,112₹,56,0
Maharashtra,Kolhapur,InoxRelianceMegaMallLaxmipuri,Marathi,09:45,Royale,112₹,70,10
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:00,ClassicPlus,100₹,346,27
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:00,Classic,100₹,62,0
Maharashtra,Jalgaon,PvrUtsavKirtiMallNaviPeth,Marathi,10:00,Prime,100₹,85,0
Maharashtra,Pune,CinepolisVipSeasonsMall,Marathi,10:00,Vip,300₹,71,8
Maharashtra,Pune,CinepolisWestendMall,Marathi,10:00,Normal,200₹,23,0
Maharashtra,Pune,CinepolisWestendMall,Marathi,10:00,Premium,200₹,49,5
Maharashtra,Pune,CinepolisWestendMall,Marathi,10:00,Executive,200₹,64,0
Maharashtra,Mumbai,CarnivalAnnexMallBorivali,Marathi,10:00,Sofa,130₹,133,3
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Vip,300₹,14,0
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Premium,190₹,80,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Executive,170₹,91,5
Maharashtra,Mumbai,CinepolisSeawoodsLT,Marathi,10:00,Normal,150₹,32,0
Maharashtra,Mumbai,CinepolisVipVivianaMall,Marathi,10:00,Vip,350₹,74,8
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:25,ReclinerOffline,180₹,23,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:25,GoldOffline,110₹,256,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:25,SilverOffline,110₹,128,0
Maharashtra,Mumbai,CarnivalRMallMulundW,Marathi,10:25,SpecialOffline,100₹,64,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:45,Premiere,112₹,200,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:45,Red,112₹,37,0
Maharashtra,Pune,InoxJaiGaneshVisionMallAkurdi,Marathi,11:45,Silver,112₹,235,7
Maharashtra,Islampur,ShreeMankeshwarChitramandirIslampur,Marathi,12:00,Balcony,80₹,187,39
Maharashtra,Mumbai,MovietimeHubMallGoregaonE,Marathi,12:00,Gold,120₹,281,29
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:05,Normal,150₹,29,0
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:05,Premium,150₹,30,14
Maharashtra,Pune,CinepolisSeasonsMall,Marathi,12:05,Executive,150₹,79,5
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,12:15,SofaOffline,160₹,18,2
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,12:15,PlatinumOffline,120₹,112,3
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,12:15,GoldOffline,110₹,65,0
Maharashtra,Pune,CarnivalCinemasSpineCityPuneSpineCityMall,Marathi,12:15,SilverOffline,100₹,48,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,12:15,Silver,130₹,134,0
Maharashtra,Mumbai,MovietimeChembur,Marathi,12:15,Gold,130₹,14,5
Maharashtra,Aurangabad,CarnivalAnjaliAurangpura,Marathi,12:15,Silver,100₹,41,0
Maharashtra,Aurangabad,CarnivalAnjaliAurangpura,Marathi,12:15,Gold,100₹,88,0
Maharashtra,Aurangabad,CarnivalAnjaliAurangpura,Marathi,12:15,Platinum,100₹,171,0
Maharashtra,Pen,CarnivalMoreshwarChinchpada,Marathi,12:15,Silver,90₹,45,0
Maharashtra,Pen,CarnivalMoreshwarChinchpada,Marathi,12:15,Gold,90₹,96,0
Maharashtra,Pen,CarnivalMoreshwarChinchpada,Marathi,12:15,Platinum,90₹,120,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,12:15,Silver,100₹,40,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,12:15,Gold,100₹,120,0
Maharashtra,Latur,CarnivalRamaLatur,Marathi,12:15,Platinum,100₹,233,8
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:15,Sofa,180₹,17,3
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:15,Silver,150₹,42,0
Maharashtra,Baramati,CarnivalCinemasSubhadraMallBaramati,Marathi,12:15,Gold,150₹,128,4
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:25,Recliner,500₹,8,0
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:25,Prime,200₹,134,19
Maharashtra,Pune,PvrIconPavillionMallShivajinagar,Marathi,12:25,Classic,180₹,28,0
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:25,Royal,230₹,24,4
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:25,Club,140₹,150,3
Maharashtra,Thane,InoxKorumMallThaneW,Marathi,12:25,Executive,140₹,75,0
Maharashtra,Junnar,ShevantaCinemaJunnar,Marathi,12:30,Gold,99₹,100,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,12:30,Club,110₹,160,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,12:30,Executive,110₹,80,0
Maharashtra,Jalgaon,InoxKhandeshCentralMallPratapNagar,Marathi,12:30,Royal,110₹,71,0
Maharashtra,Kolhapur,PadmaTalkiesLaxmipuri,Marathi,12:30,Balcony,120₹,170,0
Maharashtra,Kolhapur,PadmaTalkiesLaxmipuri,Marathi,12:30,Executive,100₹,185,0
Maharashtra,Kolhapur,PadmaTalkiesLaxmipuri,Marathi,12:30,Stall,80₹,268,0
Maharashtra,Kolhapur,PadmaTalkiesLaxmipuri,Marathi,12:30,First,60₹,73,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,12:30,Box,150₹,21,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,12:30,Balcony,130₹,193,0
Maharashtra,Lonavala,CineBlissNeelkamalCinemaLonavala,Marathi,12:30,Gold,110₹,337,40
Maharashtra,Mumbai,CarnivalHumaKanjurmargW,Marathi,12:35,PlatinumOffline,110₹,84,0
Maharashtra,Mumbai,CarnivalHumaKanjurmargW,Marathi,12:35,GoldOffline,110₹,76,0
Maharashtra,Mumbai,CarnivalHumaKanjurmargW,Marathi,12:35,SilverOffline,110₹,95,0
Maharashtra,Pune,InoxAmanoraMallHadapsar,Marathi,12:45,Royale,210₹,8,0
