State,City,Name,Language,Time,Type,Price,Capacity,Booked
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,11:30,SilverOffline,80₹,20,0
Maharashtra,Mumbai,CarnivalMoviestarGoregaonW,Marathi,11:30,GoldOffline,80₹,55,2
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:30,Platinum,112₹,88,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:30,Silver,112₹,189,0
Maharashtra,Nashik,InoxOldVijayMamtaNasik,Marathi,12:30,Executive,90₹,46,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,13:30,Balcony,150₹,15,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,13:30,Executive,150₹,52,0
Maharashtra,Mumbai,GoldCinemaDadarE,Marathi,13:30,Gold,150₹,178,16
Maharashtra,Pune,AlakaTalkiesSadashivPeth,Marathi,15:00,Balcony,120₹,246,0
Maharashtra,Pune,AlakaTalkiesSadashivPeth,Marathi,15:00,Stall,100₹,617,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,15:30,Sofa,150₹,18,0
Maharashtra,Mumbai,BharatChitraMandirKurlaW,Marathi,15:30,Premium,100₹,181,0
Maharashtra,Junnar,ShevantaCinemaJunnar,Marathi,18:30,Gold,89₹,100,0
Maharashtra,Pune,ViluxTalkiesKhadkiBazar,Marathi,18:30,Gold,100₹,224,0
Maharashtra,Pune,ViluxTalkiesKhadkiBazar,Marathi,18:30,Silver,100₹,58,0
Maharashtra,Pune,VaibhavChitramandirHadapsar,Marathi,18:45,Gold,120₹,142,0
