State,City,Name,Language,Time,Type,Price,Capacity,Booked
Punjab,Pathankot,MirajCinemasPathankot,Punjabi,09:00,Silver,100₹,94,4
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Gold,240₹,29,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Special,150₹,142,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:00,Executive,150₹,150,2
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:00,Gold,220₹,11,0
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:00,Executive,180₹,176,0
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:00,Special,160₹,65,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:05,Classic,170₹,70,2
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:15,Recliner,360₹,26,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:15,Prime,210₹,16,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:15,Classic,170₹,180,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Recliner,330₹,6,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Prime,150₹,41,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:15,Classic,140₹,150,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:20,Executive,110₹,142,0
Chandigarh,Chandigarh,FunCinemasRepublicMall,Punjabi,09:20,Normal,100₹,118,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Box,400₹,16,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:20,Gold,150₹,231,68
Haryana,Hisar,MirajCinemasHisar,Punjabi,09:20,Executive,160₹,82,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:30,Platinum,170₹,28,0
Punjab,Baghapurana,SuncityCinemaBaghapurana,Punjabi,09:30,Gold,120₹,122,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Box,350₹,6,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Sofa,300₹,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Gold,160₹,159,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:30,Prime,230₹,94,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:30,Classic,200₹,152,1
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,09:30,Executive,120₹,191,157
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Normal,130₹,37,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Premium,130₹,20,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Executive,130₹,159,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:30,Executive,200₹,183,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:30,Normal,190₹,146,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,09:40,Normal,170₹,163,0
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:45,Gold,250₹,12,0
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:45,Premur,120₹,172,32
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Platinum,160₹,70,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Gold,110₹,51,0
Punjab,Mullanpur,4GNovaCinemazMullanpurMandiRoad,Punjabi,09:45,Silver,110₹,34,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Platinum,150₹,205,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Gold,150₹,205,0
Haryana,Hisar,SuncityCinemaHisar,Punjabi,09:45,Silver,130₹,205,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:50,Gold,150₹,98,6
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:50,Silver,150₹,44,0
Haryana,Karnal,MovietimeSuperMallKarnal,Punjabi,09:50,Normal,150₹,42,0
Haryana,Panipat,PvrFunCityPanipat,Punjabi,09:50,PrimePlus,250₹,15,0
Haryana,Panipat,PvrFunCityPanipat,Punjabi,09:50,Prime,210₹,135,0
Haryana,Panipat,PvrFunCityPanipat,Punjabi,09:50,Classic,170₹,161,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:00,Bx,250₹,17,0
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:00,Dm,180₹,118,1
Punjab,Sangrur,NySangrurSangrur,Punjabi,10:00,Gl,150₹,102,0
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:00,Recliner,200₹,12,6
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:00,Gold,170₹,146,52
Haryana,YamunaNagar,DimpleCineplexYamunaNagar,Punjabi,10:00,Silver,170₹,72,18
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:00,Gold,200₹,102,16
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,10:00,Silver,150₹,96,9
Punjab,Patran,OmJeeCinemas,Punjabi,10:00,Gold,200₹,62,0
Punjab,Patran,OmJeeCinemas,Punjabi,10:00,Silver,150₹,80,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,10:00,PrimePlus,180₹,90,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,10:00,Prime,160₹,33,0
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,10:00,Classic,140₹,56,0
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,10:00,Prime,150₹,183,24
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,10:00,Classic,138₹,129,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,10:00,Gold,150₹,43,1
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,10:00,Silver,100₹,114,1
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,10:00,Seasonal,80₹,16,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,10:00,Executive,130₹,152,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,10:00,Special,100₹,76,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Platinum,250₹,19,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Gold,200₹,82,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,10:00,Silver,180₹,24,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Gold,170₹,100,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,10:00,Silver,170₹,100,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Vip,350₹,10,1
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Premium,170₹,147,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Normal,150₹,75,0
Punjab,Ludhiana,CinepolisMbdNeopolisMall,Punjabi,10:00,Executive,150₹,123,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:00,Prime,155₹,25,0
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,10:00,Classic,138₹,117,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Recliner,425₹,8,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Prime,300₹,10,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,ClassicPlus,220₹,146,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,10:00,Classic,200₹,95,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,10:00,Normal,150₹,66,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,10:00,Premium,150₹,134,49
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,10:00,Executive,150₹,86,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,10:00,Executive,120₹,168,138
Haryana,Hisar,EliteCinemasHisar,Punjabi,10:00,Lounge,250₹,30,0
Haryana,Hisar,EliteCinemasHisar,Punjabi,10:00,Gold,100₹,30,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:10,Box,350₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:10,Sofa,300₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,10:10,Gold,160₹,100,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,10:10,Vip,350₹,16,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,10:10,Premium,200₹,61,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,10:10,Executive,180₹,199,3
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,10:10,Normal,160₹,42,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:15,Recliner,450₹,13,0
Chandigarh,Chandigarh,PvrElanteMallChandigarh,Punjabi,10:15,Classic,180₹,138,1
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:15,Prime,265₹,168,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:15,ClassicPlus,200₹,88,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,10:15,Classic,175₹,64,0
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:20,Platinum,300₹,14,9
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:20,Royal,250₹,8,4
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:20,Gold,200₹,16,11
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:20,Silver,170₹,33,22
Punjab,Sardulgarh,GoldenCinemasSardulgarh,Punjabi,10:20,NormalClass,150₹,11,11
Punjab,Mohali,PvrGoldVrPunjabMallMohali,Punjabi,10:20,Gold,650₹,26,6
Punjab,Malout,CcpCineplexMalout,Punjabi,10:20,RoyalClass,300₹,4,0
Punjab,Malout,CcpCineplexMalout,Punjabi,10:20,GoldClass,130₹,95,0
Haryana,Hisar,MgCinemasHisar,Punjabi,10:30,Premium,100₹,122,2
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,10:30,Gold,200₹,75,0
Punjab,Dasuya,PresidentCinemasAdarshNagar,Punjabi,10:30,Silver,150₹,210,1
Haryana,Jind,RedRocksJind,Punjabi,10:30,Gold,150₹,30,0
Haryana,Tohana,RitzMiniplexTohana,Punjabi,10:30,Diamond,130₹,37,15
Haryana,Tohana,RitzMiniplexTohana,Punjabi,10:30,Gold,100₹,60,10
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,10:45,RoyaleRecliners,420₹,37,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,10:45,Royale,270₹,40,4
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,10:45,Club,200₹,140,0
