State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,09:00,Sofa,112₹,30,2
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,09:00,PremierPlus,99₹,180,6
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,09:00,Premium,99₹,36,0
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:15,Executive,110₹,136,25
Gujarat,Surat,ValentineMultiplexPipload,Gujarathi,09:15,Royal,90₹,105,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:30,Normal,110₹,22,0
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:30,Premium,110₹,29,6
Gujarat,Surat,CinepolisImperialSquareMall,Gujarathi,09:30,Executive,110₹,67,0
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,09:30,Prime,100₹,100,31
Gujarat,Ahmedabad,PvrArvedTranscube,Gujarathi,09:30,Classic,80₹,33,0
Gujarat,Surat,CinemaxIrisDumasRoad,Gujarathi,10:00,Recliner,180₹,17,0
Gujarat,Surat,CinemaxIrisDumasRoad,Gujarathi,10:00,Prime,120₹,211,1
Gujarat,Surat,CinemaxIrisDumasRoad,Gujarathi,10:00,Classic,110₹,37,0
Gujarat,Vadodara,BansalMultiplexGotri,Gujarathi,10:00,Diamond,150₹,14,0
Gujarat,Vadodara,BansalMultiplexGotri,Gujarathi,10:00,Gold,80₹,17,0
Gujarat,Vadodara,BansalMultiplexGotri,Gujarathi,10:00,Platinum,80₹,85,0
Gujarat,Vadodara,BansalMultiplexGotri,Gujarathi,10:00,Premium,80₹,42,0
Gujarat,Vadodara,BansalMultiplexGotri,Gujarathi,10:00,Silver,80₹,3,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,10:00,Prime,100₹,64,0
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,10:00,PrimePlus,100₹,65,24
Gujarat,Vadodara,PvrEvaMallManjalpur,Gujarathi,10:00,Classic,100₹,47,0
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,10:00,Premium,150₹,52,19
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,10:00,Executive,130₹,44,2
Gujarat,Ahmedabad,CinepolisAlphaOneMall,Gujarathi,10:00,Normal,110₹,37,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,10:15,Royal,90₹,19,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,10:15,Gold,80₹,20,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,10:15,Silver,80₹,87,0
Gujarat,Vadodara,CinemarcVip,Gujarathi,10:15,Premium,70₹,13,0
