State,City,Name,Language,Time,Type,Price,Capacity,Booked
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,12:30,Platinum,100₹,14,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,12:30,Gold,100₹,98,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,12:30,Silver,100₹,28,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipur,Chhattisghari,12:40,Gold,250₹,4,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipur,Chhattisghari,12:40,Club,150₹,4,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipur,Chhattisghari,12:40,Special,100₹,28,0
Chhattisgarh,Raipur,MirajCinemasNavaRaipur,Chhattisghari,12:40,Executive,100₹,81,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Chhattisghari,13:00,Special,100₹,39,0
Chhattisgarh,Bhilai,MirajCinemasBhilai,Chhattisghari,13:00,Executive,100₹,93,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,15:30,Platinum,150₹,14,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,15:30,Gold,100₹,98,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,15:30,Silver,100₹,28,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,18:30,Platinum,150₹,14,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,18:30,Gold,100₹,98,0
Chhattisgarh,Raipur,FnxCinemasRaipur,Chhattisghari,18:30,Silver,100₹,28,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Recliner,300₹,12,6
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Prime,130₹,140,28
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Classic,100₹,24,0
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Recliner,300₹,12,7
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Prime,130₹,140,28
Chhattisgarh,Raipur,CinemaxCityCenterPandri,Chhattisghari,18:40,Classic,100₹,24,0
Chhattisgarh,Durg,FunCinemasApsaraTalkiesDurg,Chhattisghari,21:00,Balcony,80₹,165,0
Chhattisgarh,Durg,FunCinemasApsaraTalkiesDurg,Chhattisghari,21:00,Reserve,60₹,580,0
