State,City,Name,Language,Time,Type,Price,Capacity,Booked
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,Box1,300₹,18,0
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,Box2,300₹,4,0
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,GoldC,160₹,136,46
Rajasthan,Hanumangarh,GreatGuddusShivMandirCineplex,Punjabi,09:00,SilverC,130₹,138,46
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,09:00,Gold,200₹,86,16
Haryana,Fatehabad,FilmiplexCinemaModelTown,Punjabi,09:00,Silver,150₹,64,8
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,09:00,Platinum,200₹,194,22
Punjab,Patiala,SrsOmaxeMallPatiala,Punjabi,09:00,Gold,190₹,46,0
Haryana,Hisar,MirajCinemasHisar,Punjabi,09:00,Executive,160₹,44,0
Haryana,Hisar,MirajCinemasHisar,Punjabi,09:00,Special,140₹,135,4
Haryana,YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,09:00,Premium,170₹,75,0
Haryana,YamunaNagar,CarnivalUpalUniversalMallJagadhari,Punjabi,09:00,Club,170₹,154,23
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,09:00,Prime,205₹,43,4
Punjab,Ludhiana,PvrFlamezMallGurudevNagar,Punjabi,09:00,Classic,170₹,366,2
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:00,Prime,240₹,95,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:00,Classic,210₹,115,0
Punjab,Amritsar,InoxTriliumMallCircularRoad,Punjabi,09:00,Normal,170₹,155,4
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Box,270₹,3,0
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Recliner,270₹,12,6
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Gold,170₹,106,16
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,09:00,Silver,170₹,26,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:00,Special,150₹,76,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,09:00,Executive,150₹,152,3
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:00,Prime,240₹,95,0
Punjab,Mohali,PvrVrPunjabMallMohali,Punjabi,09:00,Classic,210₹,115,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:05,Platinum,250₹,91,25
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:05,Gold,230₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,09:05,Silver,200₹,32,0
Punjab,Pathankot,MirajCinemasPathankot,Punjabi,09:05,Silver,100₹,94,4
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:05,RoyaleRecliners,420₹,38,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:05,Royale,270₹,40,0
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:05,Club,200₹,140,3
Punjab,Jalandhar,InoxJalandharRelianceMallJalandhar,Punjabi,09:05,Executive,170₹,44,0
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:05,Gold,220₹,11,0
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:05,Executive,180₹,176,11
Punjab,Dhuri,MirajCinemasMgmDhuri,Punjabi,09:05,Special,160₹,65,5
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:05,Gold,240₹,29,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:05,Special,150₹,142,0
Punjab,Abohar,MirajCinemasKundanPalaceAbohar,Punjabi,09:05,Executive,150₹,150,2
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Box,400₹,16,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Gold,150₹,231,68
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Box,400₹,16,0
Punjab,Firozpur,SilverBirdCinemas,Punjabi,09:15,Gold,150₹,231,76
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,09:15,PrimePlus,180₹,90,15
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,09:15,Prime,160₹,33,3
Punjab,Pathankot,PvrNoveltyMallPathankot,Punjabi,09:15,Classic,140₹,56,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:15,Recliner,445₹,10,4
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:15,Prime,315₹,13,0
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:15,ClassicPlus,240₹,193,2
Punjab,Jalandhar,PvrMbdNeopolisMallJalandhar,Punjabi,09:15,Classic,205₹,105,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:15,Vip,400₹,16,0
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:15,Executive,190₹,108,37
Punjab,Amritsar,CinepolisMallOfAmritsar,Punjabi,09:15,Normal,180₹,75,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Punjabi,09:15,Classic,220₹,94,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:20,Recliner,300₹,20,2
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:20,Silver,150₹,68,0
Punjab,Jalandhar,CarnivalVivaCollageParagpur,Punjabi,09:20,Gold,150₹,168,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:25,Vip,300₹,9,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:25,Premium,180₹,30,2
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:25,Executive,160₹,59,0
Punjab,Mohali,CinepolisBestechSquareMall,Punjabi,09:25,Normal,140₹,22,0
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:30,Gold,300₹,12,0
Haryana,Sonipat,MaxxCinemaSonipat,Punjabi,09:30,Premur,99₹,172,66
Punjab,Patran,OmJeeCinemas,Punjabi,09:30,Gold,200₹,56,0
Punjab,Patran,OmJeeCinemas,Punjabi,09:30,Silver,150₹,80,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Gold,170₹,90,0
Punjab,Nakodar,KcAnandMiniplexNakodar,Punjabi,09:30,Silver,170₹,60,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,Prime,270₹,167,16
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,ClassicPlus,200₹,92,0
Punjab,Jalandhar,PvrCuroJalandhar,Punjabi,09:30,Classic,180₹,64,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:30,Prime,230₹,8,0
Punjab,Ludhiana,PvrSilverArcMallGurdevNagar,Punjabi,09:30,Classic,160₹,258,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Premium,260₹,134,37
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Executive,250₹,86,0
Punjab,Bathinda,FunCinemaMittalCityMall,Punjabi,09:30,Normal,240₹,66,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Normal,150₹,32,0
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Premium,150₹,44,10
Punjab,Amritsar,CinepolisCelebrationMall,Punjabi,09:30,Executive,150₹,92,2
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Recliner,415₹,11,0
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Prime,170₹,45,16
Punjab,Amritsar,PvrSctAmritsar,Punjabi,09:30,Classic,160₹,103,9
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Box,350₹,8,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Sofa,300₹,10,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:30,Gold,160₹,179,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:30,Gold,150₹,36,0
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:30,Silver,100₹,85,1
Punjab,Nawanshahr,SutlejCinemaBarnalaKalanRoad,Punjabi,09:30,Seasonal,80₹,17,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:35,Prime,280₹,10,0
Punjab,Ludhiana,PvrPavilionMallLudhiana,Punjabi,09:35,Classic,200₹,223,2
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:40,Box,350₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:40,Sofa,300₹,100,0
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:40,Gold,160₹,100,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,09:40,Executive,120₹,191,157
Punjab,Doraha,NovaCinemazDoraha,Punjabi,09:40,Platinum,250₹,19,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,09:40,Gold,200₹,82,0
Punjab,Doraha,NovaCinemazDoraha,Punjabi,09:40,Silver,180₹,24,0
Chandigarh,Chandigarh,PvrCentraChandigarh,Punjabi,09:40,Prime,109₹,180,32
