State,City,Name,Language,Time,Type,Price,Capacity,Booked
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:50,Recliner,400₹,12,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:50,Prime,220₹,11,0
WestBengal,Kolkata,PvrDiamondPlazaJassore,Bengali,11:50,Classic,160₹,80,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,12:15,Silver,250₹,157,0
WestBengal,Kolkata,InoxSouthCityMall,Bengali,12:15,Premier,230₹,34,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:35,Club,140₹,72,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:35,Executive,140₹,36,0
WestBengal,Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,12:35,Royal,140₹,40,2
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:55,Normal,200₹,34,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:55,Premium,200₹,42,0
WestBengal,Kolkata,CinepolisAcropolisMall,Bengali,12:55,Executive,200₹,134,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:00,Prime,260₹,6,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:00,Classic,210₹,183,0
WestBengal,CoochBehar,NewCinemaCoochBehar,Bengali,13:00,Balcony,80₹,101,59
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,Balcony,50₹,264,33
WestBengal,Krishnanagar,SangeetaTalkiesKrishnanagar,Bengali,13:00,FirstClass,30₹,513,30
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:00,Prime,260₹,11,0
WestBengal,Kolkata,PvrAvaniRiverSideMall,Bengali,13:00,Classic,210₹,200,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:20,Vip,380₹,10,0
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:20,Premium,220₹,21,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:20,Executive,200₹,51,2
WestBengal,Kolkata,CinepolisLakeMall,Bengali,13:20,Normal,180₹,21,1
WestBengal,Kolkata,InoxCityCentreSaltlake,Bengali,14:10,Royale,310₹,31,0
