State,City,Name,Language,Time,Type,Price,Capacity,Booked
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarathi,12:30,Executive,110₹,107,0
Gujarat,Vadodara,MirajCinemasSwcMallTandalja,Gujarathi,12:30,Special,110₹,64,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,12:30,Sofa,149₹,30,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,12:30,PremierPlus,112₹,180,0
Gujarat,Bhavnagar,MaxusCinemaBhavnagar,Gujarathi,12:30,Premium,99₹,36,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,12:30,Box,150₹,8,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,12:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,12:30,Executive,90₹,106,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,13:00,Gold,100₹,230,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,13:00,Silver,80₹,270,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,15:30,Box,150₹,8,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,15:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,15:30,Executive,90₹,106,0
Gujarat,Rajkot,RajshreeTalkiesRajkot,Gujarathi,16:00,Balcony,160₹,100,0
Gujarat,Rajkot,RajshreeTalkiesRajkot,Gujarathi,16:00,Upper,130₹,100,0
Maharashtra,Mumbai,GoldCinemaSonaBorivaliE,Gujarathi,16:00,Box,300₹,22,0
Maharashtra,Mumbai,GoldCinemaSonaBorivaliE,Gujarathi,16:00,Gold,112₹,184,0
Maharashtra,Mumbai,GoldCinemaSonaBorivaliE,Gujarathi,16:00,Silver,112₹,53,0
Gujarat,Vadodara,AlpanaCinemaNavapura,Gujarathi,16:00,Recliner,100₹,24,0
Gujarat,Vadodara,AlpanaCinemaNavapura,Gujarathi,16:00,Gold,90₹,263,0
Gujarat,Vadodara,AlpanaCinemaNavapura,Gujarathi,16:00,Platinum,90₹,258,0
Gujarat,Vadodara,AlpanaCinemaNavapura,Gujarathi,16:00,Silver,90₹,58,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,16:15,Gold,130₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,16:15,Silver,100₹,54,0
Gujarat,Junagadh,SurajCineplexJunagadh,Gujarathi,18:00,Sofa,180₹,20,0
Gujarat,Junagadh,SurajCineplexJunagadh,Gujarathi,18:00,Executive,160₹,70,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,18:30,Box,150₹,100,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,18:30,Balcony,100₹,100,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,18:30,Executive,90₹,100,0
Gujarat,Ahmedabad,MirajCityPulseManiNagar,Gujarathi,19:05,Gold,160₹,24,6
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,21:30,Box,150₹,8,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,21:30,Balcony,100₹,101,0
Gujarat,Anand,KalpanaTalkiesAnand,Gujarathi,21:30,Executive,90₹,106,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,22:30,Gold,130₹,70,0
Gujarat,Bhavnagar,Top3MultiplexBhavnagar,Gujarathi,22:30,Silver,110₹,54,0
