State,City,Name,Language,Time,Type,Price,Capacity,Booked
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,11:15,Gold,120₹,54,10
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,11:15,Silver,100₹,24,0
Assam,Guwahati,CinepolisCentralMall,Assamese,11:30,Vip,350₹,2,0
Assam,Guwahati,CinepolisCentralMall,Assamese,11:30,Premium,170₹,41,0
Assam,Guwahati,CinepolisCentralMall,Assamese,11:30,Executive,150₹,116,7
Assam,Guwahati,CinepolisCentralMall,Assamese,11:30,Normal,130₹,24,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Diamond,180₹,94,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Gold,140₹,58,0
Assam,Guwahati,GoldCinemaNarengi,Assamese,17:00,Silver,120₹,66,0
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Gold,120₹,54,10
Assam,Guwahati,GoldCinemaPaltanbazar,Assamese,17:15,Silver,100₹,24,0
Assam,Guwahati,CinepolisCentralMall,Assamese,17:15,Vip,350₹,4,0
Assam,Guwahati,CinepolisCentralMall,Assamese,17:15,Premium,170₹,42,9
Assam,Guwahati,CinepolisCentralMall,Assamese,17:15,Executive,150₹,116,3
Assam,Guwahati,CinepolisCentralMall,Assamese,17:15,Normal,130₹,24,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:50,Gold,350₹,12,6
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:50,Club,210₹,68,18
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:50,Executive,150₹,32,3
Assam,Jorhat,InoxAbsMallJorhat,Assamese,17:50,Premier,100₹,32,0
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:15,Business,290₹,14,4
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:15,Platinum,240₹,192,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:15,Gold,190₹,51,7
Assam,Tinsukia,GalleriaCinemasAtcMallTinsukia,Assamese,18:15,Silver,100₹,34,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Business,340₹,17,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Platinum,280₹,22,4
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Executive,240₹,150,14
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Gold,190₹,85,0
Assam,Dibrugarh,GalleriaCinemaDibrugarh,Assamese,18:15,Silver,100₹,50,1
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:30,Business,250₹,60,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:30,Platinum,200₹,75,10
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:30,Gold,180₹,90,0
Assam,Guwahati,GalleriaCinemaHubMallGSRoad,Assamese,18:30,Silver,130₹,30,0
