State,City,Name,Language,Time,Type,Price,Capacity,Booked
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Recliner,250₹,9,0
Telangana,Hyderabad,PvrKukatpallyHyderabad,Telugu,10:00,Classic,150₹,135,42
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,11:30,Balcony,110₹,264,80
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,11:30,Balcony,100₹,44,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,11:30,SecondClass,100₹,40,40
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,11:30,ThirdClass,78₹,103,2
Telangana,Hyderabad,SensationComplexKhairatabad,Telugu,11:30,ColosseumClass,110₹,112,72
Telangana,Hyderabad,SensationComplexKhairatabad,Telugu,11:30,EcstasyClass,110₹,156,120
Telangana,Hyderabad,SensationComplexKhairatabad,Telugu,11:30,AscropolisClass,80₹,143,97
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,14:45,Balcony,110₹,264,1
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,14:45,Balcony,100₹,44,4
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,14:45,SecondClass,100₹,40,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,14:45,ThirdClass,78₹,103,14
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,18:30,Balcony,110₹,264,60
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,18:30,Balcony,100₹,44,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,18:30,SecondClass,100₹,40,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,18:30,ThirdClass,78₹,103,1
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,21:45,Balcony,110₹,264,80
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,21:45,Balcony,100₹,44,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,21:45,SecondClass,100₹,40,0
AndhraPradesh,Vijayawada,AnnapurnaAC2KDolbyAtmosVijayawada,Telugu,21:45,ThirdClass,78₹,103,0
